"id";"Nome";"RG";"CPF";"endereco_fk"
233;"Aline  Barros Calado";"339674329";"58.623.913.6-56";63
234;"Heloísa  Braga Arake";"775918705";"32.460.946.7-43";16
235;"Maria Alice  Pedreira  Guimarães ";"502148208";"66.322.921.0-02";176
236;"Sophia  Rocha  Fontes ";"987647369";"57.940.662.8-96";131
237;"Bernardo  Correia  Braga";"291967825";"01.115.167.1-78";167
238;"Theo  Braga  Azevedo";"018534886";"59.850.179.1-31";82
239;"Marcela  Campos  Guimarães ";"762696953";"12.424.980.8-49";95
240;"Valentina Almeida  Brasil";"823719559";"04.650.325.1-03";35
241;"Maria Clara Kubitcheck  Cardoso";"603578525";"19.093.370.5-25";181
242;"Raquel dos Santos Palmito";"128663036";"62.784.226.5-09";24
243;"Miguel Sequeira  Queirós";"287334317";"51.865.253.0-69";62
244;"Maria  Magalhães   Matos";"584626650";"42.471.011.4-50";33
245;"Lucas Pinhais  Serra";"834566186";"80.687.318.6-82";2
246;"Heitor  Costa  Barros";"099096757";"10.498.895.3-12";45
247;"Alice  Bahiense  Pedreira";"900376911";"57.860.045.0-78";76
248;"Ronaldo Calado  Braga";"559103869";"08.718.025.9-22";20
249;"Viviane Sequeira  Campos";"425507296";"35.749.443.3-81";182
250;"Heitor Pinhais Almeida";"729615913";"64.317.980.4-23";110
251;"Tamires  Costa Pinhais";"215127067";"03.448.249.4-36";106
252;"Maria Clara  Castro  Pedreira";"176300918";"77.972.749.0-13";1
253;"Maria Alice  Rocha  Souza";"297497178";"39.408.879.7-30";135
254;"Maria Clara  Ribeiro  Rocha";"656337369";"02.498.088.8-36";82
255;"Theo  Teixeira  Azevedo";"447977461";"00.538.201.3-00";195
256;"Karla  Magalhães   Pedreira";"090138619";"24.855.737.8-27";175
257;"Raquel  Azevedo  Braga";"375043903";"82.339.701.1-24";70
258;"João Miguel  Pedreira Palmito";"671854940";"44.813.999.3-39";39
259;"Guilherme  Rocha  Ribeiro";"905623504";"19.238.485.8-82";160
260;"Maria Cecília  Azevedo  Castro";"927800507";"50.919.917.0-44";94
261;"Lucas  Serra  Rocha";"820865351";"91.837.482.4-13";151
262;"Theo  Queirós  Castro";"454558302";"62.966.417.4-39";185
263;"Maria  Siqueira  Souza";"715795399";"02.602.581.1-58";17
264;"Maria Clara  Ribeiro Silva";"824434066";"69.250.406.0-69";196
265;"Tamires  Braga  Rocha";"429314480";"52.877.838.6-11";166
266;"Tamires  Siqueira  Queirós";"277927263";"30.737.010.3-89";150
267;"Aline  Macedo  Rocha";"172370489";"79.107.677.1-08";71
268;"Viviane  Azevedo  Fontes ";"997255736";"36.336.756.5-45";4
269;"Maria Cecília Mesquita  Correia";"080690433";"68.989.388.1-98";110
270;"Maria Cecília  Barros Calado";"112170649";"16.381.079.1-42";44
271;"Ana Pinhais  Serra";"036239440";"45.302.110.2-99";103
272;"Luiza Martins Martins";"387288131";"58.236.968.7-95";9
273;"Eduardo  Pedreira  Queirós";"303413011";"70.688.176.6-16";22
274;"Maria Martins  Castro";"051558565";"73.160.958.8-27";74
275;"Helena Kubitcheck Mesquita";"299484758";"48.363.612.0-46";110
276;"Thiago  Brasil  Macedo";"766512107";"26.748.484.9-14";35
277;"Guilherme Kubitcheck  Barros";"988368624";"44.648.828.1-46";170
278;"Tamires  Fontes  Aparecido";"402110698";"33.036.761.6-04";188
279;"Aline Martins  Pedreira";"114577127";"05.881.604.7-39";195
280;"Bernardo  Barros  Azevedo";"120840794";"15.111.194.0-40";68
281;"Maria Clara Martins Rodrigues";"988756347";"77.611.241.7-84";33
282;"Eduardo Palmito Palmito";"713835911";"87.564.298.9-04";145
283;"Miguel  Cardoso  Magalhães ";"394529568";"31.144.379.2-84";192
284;"Helena Almeida Rodrigues";"163472406";"29.638.118.3-26";126
285;"Vanessa Oliveira  Cardoso";"520092271";"11.543.305.6-73";85
286;"Valentina  Costa  Souza";"356067474";"28.886.550.2-65";67
287;"Marcelo Martins  Ribeiro";"966116002";"20.844.398.6-64";162
288;"Karla  Barros Arake";"338539424";"78.286.429.0-68";61
289;"Miguel  Correia  Cardoso";"352769369";"02.068.961.2-52";117
290;"Karla Rodrigues  Magalhães ";"678801985";"77.653.997.9-96";112
291;"Maria Julia  Cardoso Calado";"522825660";"42.734.618.0-53";164
292;"José  Guimarães  Palmito";"387604342";"32.891.782.6-23";83
293;"Eduardo  Correia  Costa";"784561957";"13.916.499.4-79";106
294;"Valentina  Fontes  Martins";"726254626";"97.676.865.8-72";108
295;"Guilherme  Rocha  Macedo";"744459994";"59.313.782.6-34";150
296;"Karla  Cardoso Martins";"185812648";"61.270.282.1-02";122
297;"José  Teixeira Aparecido";"974577898";"54.193.652.3-02";148
298;"Vanessa Oliveira  Rocha";"103181074";"31.010.449.2-12";89
299;"Laura Almeida  Cardoso";"866725840";"92.207.047.9-53";119
300;"Marcela Almeida  Costa";"160094715";"28.257.299.9-35";6
301;"Ronaldo  Magalhães  Martins";"076704962";"90.883.169.9-73";63
302;"Maria Cecília  Souza Martins";"162592902";"85.495.103.9-47";51
303;"Alice Kubitcheck  Siqueira";"810376468";"15.137.478.0-26";113
304;"Maria  Correia  Ribeiro";"140394160";"22.665.249.0-16";171
305;"Alice  Teixeira Mesquita";"168995759";"15.846.468.3-67";189
306;"Raquel  Bahiense  Brasil";"593949307";"18.173.105.1-01";142
307;"Theo  Macedo  Azevedo";"287304656";"93.698.968.8-25";68
308;"Valentina Sequeira  Cardoso";"479856616";"58.811.714.6-47";123
309;"Marcelo  Queirós  Pedreira";"506423306";"50.770.729.8-52";123
310;"Maria Alice  Fontes  Rodrigues";"671838156";"57.089.754.1-20";61
311;"Luiza  Ribeiro  Matos";"727688644";"73.206.900.4-71";42
312;"Luiza  Castro  Barros";"864827800";"43.286.211.5-40";115
313;"Viviane  Rocha  Costa";"412335504";"13.577.546.5-51";32
314;"Lucas Aparecido  Matos";"617219471";"00.291.411.2-42";101
315;"Bernardo  Macedo Almeida";"335107719";"20.638.884.2-50";91
316;"Helena  Campos  Campos";"620146514";"60.207.051.7-98";36
317;"Theo  Barros  Guimarães ";"323899267";"61.186.770.5-06";72
318;"Valentina Aparecido  Ribeiro";"295765244";"72.910.528.2-46";64
319;"Bernardo  Guimarães  Arake";"390595909";"53.502.906.5-91";118
320;"Gabriela Palmito Palmito";"340053872";"90.151.917.3-18";48
321;"Sophia Aparecido  Braga";"920483617";"79.054.537.6-46";158
322;"Viviane  Souza Mesquita";"128930092";"87.227.664.1-65";103
323;"Maria Aparecido Mesquita";"368878185";"30.697.119.6-01";172
324;"Arthur  Campos  Siqueira";"242941913";"33.328.566.9-56";91
325;"Theo  Campos  Magalhães ";"654429401";"18.916.131.3-42";198
326;"Gabriel  Teixeira  Pedreira";"578550783";"95.790.613.4-42";59
327;"Maria Alice  Costa  Queirós";"800351983";"84.787.632.7-90";21
328;"Helena  Castro Almeida";"998408555";"49.859.677.7-77";108
329;"Aline Mesquita  Brasil";"883769336";"10.084.434.2-06";132
330;"Raquel  Azevedo  Costa";"596418545";"70.496.596.3-82";73
331;"Maria Clara  Braga  Cardoso";"680050340";"76.482.082.9-38";165
332;"Maria Clara  Campos Palmito";"263302130";"27.647.924.6-04";68
333;"Lucas Palmito  Matos";"415101446";"24.431.002.2-22";29
334;"Ana  Magalhães   Azevedo";"692201284";"76.360.602.9-99";17
335;"Guilherme  Braga  Azevedo";"487140869";"54.070.609.8-43";38
336;"Marcela  Brasil Almeida";"656912217";"86.772.257.2-49";165
337;"Aline Mesquita  Correia";"242464680";"50.707.731.1-20";168
338;"Valentina Aparecido Mesquita";"732675881";"89.487.256.9-71";70
339;"Maria  Campos Mesquita";"495136489";"38.232.804.7-97";147
340;"Gabriel Mesquita Mesquita";"460848412";"38.242.308.2-71";178
341;"Valentina Palmito  Macedo";"088459687";"97.844.436.0-67";149
342;"Luiza Rodrigues Silva";"258558857";"62.573.970.3-41";145
343;"Maria  Fontes   Souza";"700848379";"54.704.870.5-19";18
344;"Maria  Siqueira  Souza";"345576913";"09.827.754.5-90";165
345;"Raquel  Macedo  Cardoso";"749765148";"64.525.865.5-31";144
346;"Lucas  Rocha Almeida";"568230279";"63.445.410.6-66";62
347;"Marcelo Arake  Queirós";"859461495";"93.753.268.3-03";184
348;"Gabriel  Matos  Rocha";"477256571";"59.852.764.7-99";163
349;"Guilherme  Serra Aparecido";"363646905";"31.963.961.8-20";6
350;"Maria Aparecido  Rocha";"167824468";"50.545.680.5-40";197
351;"Thiago  Azevedo Arake";"174066482";"72.764.013.0-38";55
352;"Heitor Aparecido  Souza";"551865011";"54.802.659.0-31";160
353;"Aline  Ribeiro  Braga";"954110588";"35.230.496.6-58";122
354;"Karla Calado  Correia";"529947863";"09.920.573.6-15";115
355;"Thiago  Pedreira Palmito";"260250025";"13.575.254.4-14";179
356;"Aline  Barros  Brasil";"358051876";"06.177.888.8-73";197
357;"Miguel Martins  Azevedo";"532705081";"01.048.485.6-17";168
358;"Maria  Teixeira  Fontes ";"588210163";"01.214.719.9-64";172
359;"Guilherme Aparecido  Campos";"710379975";"49.152.022.0-17";146
360;"Eduardo  Azevedo  Macedo";"237611453";"31.393.080.4-03";47
361;"Maria Julia  Castro Calado";"945509371";"52.866.183.6-13";144
362;"Samuel  Queirós Kubitcheck";"130789683";"41.580.484.4-57";194
363;"Ana  Serra  Siqueira";"373008822";"21.339.854.0-70";174
364;"Gabriel  Siqueira  Cardoso";"464193196";"89.116.305.5-00";153
365;"Lucas  Guimarães   Matos";"003297472";"85.113.682.6-15";84
366;"Gabriel  Braga Palmito";"485775817";"67.146.186.4-75";25
367;"Lucas  Braga  Fontes ";"365059323";"37.841.703.0-00";133
368;"Samuel Oliveira  Barros";"549754433";"60.378.503.8-30";91
369;"Ana  Pedreira  Teixeira";"368990917";"82.710.724.7-68";70
370;"Ronaldo Martins  Braga";"533914279";"81.727.620.5-23";17
371;"Bernardo dos Santos  Magalhães ";"571923030";"74.593.200.2-12";158
372;"José  Braga Calado";"129832671";"00.333.887.4-52";198
373;"Viviane  Azevedo Kubitcheck";"673631556";"89.598.647.1-79";64
374;"Guilherme  Pedreira  Brasil";"459601338";"94.398.509.6-18";11
375;"Sophia Pinhais  Braga";"226339878";"18.328.351.7-18";196
376;"Ronaldo  Siqueira  Azevedo";"473330410";"85.085.125.9-44";56
377;"Marcela  Castro  Costa";"731815962";"73.114.474.6-30";188
378;"Heitor Aparecido  Queirós";"224122626";"35.409.028.9-36";162
379;"Gabriela Kubitcheck  Brasil";"327691345";"59.716.639.9-61";133
380;"Sophia  Guimarães   Guimarães ";"112822802";"84.678.660.4-82";84
381;"Luiza Rodrigues  Matos";"737834072";"66.753.350.9-84";126
382;"Maria Julia  Queirós Silva";"109514208";"71.888.945.3-88";36
383;"Maria Cecília  Brasil Aparecido";"776563857";"97.098.278.4-08";37
384;"Valentina  Guimarães   Bahiense";"674558750";"31.143.744.0-93";109
385;"Heitor  Teixeira Mesquita";"271616025";"18.009.003.4-35";97
386;"Heloísa  Bahiense  Ribeiro";"350645662";"01.510.985.0-46";129
387;"Marcela  Magalhães   Costa";"250706407";"76.555.117.1-98";116
